Fecha,Plato,Cantidad Vendida
13/06/2026,Ceviche Mixto,33
13/06/2026,Ceviche Clásico,36
13/06/2026,Lomo Saltado,36
13/06/2026,Pastel de Choclo,28
13/06/2026,Salmón Grillé,22
13/06/2026,Tartar de Atún,18
13/06/2026,Empanada de Pino,56
13/06/2026,Machas a la Parmesana,29
13/06/2026,Cazuela de Vacuno,20
14/06/2026,Ceviche Mixto,24
14/06/2026,Ceviche Clásico,25
14/06/2026,Lomo Saltado,23
14/06/2026,Pastel de Choclo,19
14/06/2026,Salmón Grillé,13
14/06/2026,Tartar de Atún,10
14/06/2026,Empanada de Pino,34
14/06/2026,Machas a la Parmesana,18
14/06/2026,Cazuela de Vacuno,15
15/06/2026,Ceviche Mixto,12
15/06/2026,Ceviche Clásico,12
15/06/2026,Lomo Saltado,19
15/06/2026,Pastel de Choclo,11
15/06/2026,Salmón Grillé,10
15/06/2026,Tartar de Atún,5
15/06/2026,Empanada de Pino,20
15/06/2026,Machas a la Parmesana,12
15/06/2026,Cazuela de Vacuno,7
16/06/2026,Ceviche Mixto,15
16/06/2026,Ceviche Clásico,14
16/06/2026,Lomo Saltado,14
16/06/2026,Pastel de Choclo,10
16/06/2026,Salmón Grillé,14
16/06/2026,Tartar de Atún,8
16/06/2026,Empanada de Pino,18
16/06/2026,Machas a la Parmesana,14
16/06/2026,Cazuela de Vacuno,7
17/06/2026,Ceviche Mixto,17
17/06/2026,Ceviche Clásico,13
17/06/2026,Lomo Saltado,14
17/06/2026,Pastel de Choclo,13
17/06/2026,Salmón Grillé,13
17/06/2026,Tartar de Atún,10
17/06/2026,Empanada de Pino,25
17/06/2026,Machas a la Parmesana,13
17/06/2026,Cazuela de Vacuno,8
18/06/2026,Ceviche Mixto,17
18/06/2026,Ceviche Clásico,20
18/06/2026,Lomo Saltado,23
18/06/2026,Pastel de Choclo,16
18/06/2026,Salmón Grillé,10
18/06/2026,Tartar de Atún,11
18/06/2026,Empanada de Pino,28
18/06/2026,Machas a la Parmesana,15
18/06/2026,Cazuela de Vacuno,13
19/06/2026,Ceviche Mixto,31
19/06/2026,Ceviche Clásico,36
19/06/2026,Lomo Saltado,28
19/06/2026,Pastel de Choclo,22
19/06/2026,Salmón Grillé,21
19/06/2026,Tartar de Atún,18
19/06/2026,Empanada de Pino,43
19/06/2026,Machas a la Parmesana,24
19/06/2026,Cazuela de Vacuno,17
20/06/2026,Ceviche Mixto,29
20/06/2026,Ceviche Clásico,38
20/06/2026,Lomo Saltado,38
20/06/2026,Pastel de Choclo,25
20/06/2026,Salmón Grillé,25
20/06/2026,Tartar de Atún,19
20/06/2026,Empanada de Pino,47
20/06/2026,Machas a la Parmesana,28
20/06/2026,Cazuela de Vacuno,23
21/06/2026,Ceviche Mixto,23
21/06/2026,Ceviche Clásico,31
21/06/2026,Lomo Saltado,17
21/06/2026,Pastel de Choclo,20
21/06/2026,Salmón Grillé,17
21/06/2026,Tartar de Atún,13
21/06/2026,Empanada de Pino,37
21/06/2026,Machas a la Parmesana,15
21/06/2026,Cazuela de Vacuno,15
22/06/2026,Ceviche Mixto,15
22/06/2026,Ceviche Clásico,20
22/06/2026,Lomo Saltado,14
22/06/2026,Pastel de Choclo,9
22/06/2026,Salmón Grillé,9
22/06/2026,Tartar de Atún,10
22/06/2026,Empanada de Pino,23
22/06/2026,Machas a la Parmesana,11
22/06/2026,Cazuela de Vacuno,10
23/06/2026,Ceviche Mixto,14
23/06/2026,Ceviche Clásico,19
23/06/2026,Lomo Saltado,13
23/06/2026,Pastel de Choclo,10
23/06/2026,Salmón Grillé,9
23/06/2026,Tartar de Atún,5
23/06/2026,Empanada de Pino,23
23/06/2026,Machas a la Parmesana,13
23/06/2026,Cazuela de Vacuno,9
24/06/2026,Ceviche Mixto,16
24/06/2026,Ceviche Clásico,14
24/06/2026,Lomo Saltado,16
24/06/2026,Pastel de Choclo,12
24/06/2026,Salmón Grillé,10
24/06/2026,Tartar de Atún,9
24/06/2026,Empanada de Pino,27
24/06/2026,Machas a la Parmesana,18
24/06/2026,Cazuela de Vacuno,11
25/06/2026,Ceviche Mixto,20
